,ms_location,latitude,longitude,localite
521,608-01-19082-00011,14.8486863,-15.84759998,NDAME/MBACKE/DIOURBEL
737,608-01-03012-30391,14.5153192,-16.9425973,SINDIA/MBOUR/THIES
740,608-01-03012-41877,14.4266918,-16.9946803,SALY PORTUDAL/MBOUR/THIES
660,608-01-00818-00001,16.028762,-16.508092,SAINT LOUIS/SAINT LOUIS/SAINT-LOUIS
411,608-01-09022-43213,13.1240783,-13.6807617,BONCONTO/VELINGARA/KOLDA
678,608-01-01036-00003,14.75674809,-17.4349775,PARCELLES ASSAINIES/DAKAR/DAKAR
626,608-01-00674-00006,15.04486432,-16.04869978,DAROU MOUSTY/KEBEMER/LOUGA
513,608-01-09042-63492,14.868639,-15.907008,NDAME/MBACKE/DIOURBEL
859,608-01-09000-00304,14.66986901,-17.439786,DAKAR PLATEAU/DAKAR/DAKAR
136,608-01-02013-29137,14.63863334,-16.23650834,DIOURBEL/DIOURBEL/DIOURBEL
811,608-01-04016-46628,14.4250922,-16.9460039,MBOUR/MBOUR/THIES
76,608-01-00712-33742,13.02563633,-11.416941928,SABODALA/SARAYA/KEDOUGOU
636,608-01-00711-11598,13.6239852,-13.5911285,MISSIRAH/TAMBACOUNDA/TAMBACOUNDA
973,608-01-09020-24973,14.13338524,-16.07309299,KAOLACK/KAOLACK/KAOLACK
938,608-01-09012-13165,15.62431278,-16.21721733,LOUGA/LOUGA/LOUGA
899,608-01-09005-12786,14.69465002,-16.4535059,BAMBEY/BAMBEY/DIOURBEL
280,608-01-04441-00011,14.9500632,-16.817763,TIVAOUANE/TIVAOUANE/THIES
883,608-01-09003-10513,14.74872812,-17.3940958,PIKINE DAGOUDANE/PIKINE/DAKAR
761,608-01-03460-00001,14.73971699,-17.32179835,THIAROYE/PIKINE/DAKAR
319,608-01-09004-10916,14.66135163,-16.85699227,NOTTO/THIES/THIES
549,608-01-00116-27639,14.73456322,-17.49570013,ALMADIES/DAKAR/DAKAR
174,608-01-03012-41598,14.46931,-16.94703,SINDIA/MBOUR/THIES
371,608-01-09013-46253,13.9186272,-16.61151262,NIODIOR/FOUNDIOUGNE/FATICK
527,608-01-30330-00011,14.45065633,-16.96796353,SINDIA/MBOUR/THIES
210,608-01-03974-00002,12.82828484,-14.87124422,DIOULACOLON/KOLDA/KOLDA
235,608-01-04011-57494,14.6613516,-16.8569923,NOTTO/THIES/THIES
101,608-01-00993-00006,14.69300815,-17.4541221,DAKAR PLATEAU/DAKAR/DAKAR
986,608-01-09023-46163,12.8044749,-16.24136054,BIGNONA/BIGNONA/ZIGUINCHOR
902,608-01-09005-12971,14.651421,-16.257632,DIOURBEL/DIOURBEL/DIOURBEL
947,608-01-09013-51914,14.420914,-16.702789,THIADIAYE/MBOUR/THIES
346,608-01-09009-01744,14.7856086,-17.38259581,GUEDIAWAYE/GUEDIAWAYE/DAKAR
