,ID_CM,Age_CM,Niveau_educ,Privation_eau,Privation_electricite,Privation_communication,Handicap_visuel,Hnadicap_auditif,Handicap_moteur,Alphabetisation_CM,Frequentation_scolaire_CM,Formation_professionnelle_CM,Mais,Riz,Sorgho,Fonio,Mil,Aubergine_amere,Aubergine_douce,Chou,Gombo,Piment,Carotte,Navet,Concombre,Laitue_salade,Culture_pluviale,Elevage,Culture_maraichere,Arboriculture_fruitiere,Peche_aquaculture,Annees_etudes,Frequentation_scolaire_des_enfants,Subsistance,Malade,Combustible_cuisson,Assainissement,Eau,Electricite,Sol,Biens,Logement,Acces_eau_e10,Toilettes_e08a,Toilettes_e08b,Score_privation,Score_handicap
0,d65862c2b2c34aefb070a708718426b3,32,5,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,12,1,1,1,9,51,99,01,10,2,3,41,23,0,0.6666666666666666,0.6666666666666666
1,5757c99a52d73d9b3e563a0046add2ee,21,5,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,8,2,0,1,9,11,10,01,10,23,5,42,41,1,0.6666666666666666,0.6666666666666666
2,ed36b9182948943432386fa422a084b1,53,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,6,0,0,1,3,21,07,04,10,2,7,42,11,0,0.0,0.6666666666666666
3,bdc6d7893af482720b45eb6258f07fd3,49,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,7,0,0,0,3,31,07,99,04,34,6,31,41,0,0.6666666666666666,0.6666666666666666
4,fe090e5a588ca62bdbff8e807d04e475,46,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,16,0,1,1,2,51,07,09,11,30,2,12,41,1,0.3333333333333333,0.6666666666666666
5,8377cb16fe40aa057281508152f2b0b3,35,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,12,2,0,0,1,31,08,08,09,21,4,41,23,0,0.3333333333333333,0.3333333333333333
6,9526e47b093153ee6f99346bbdcf0666,31,2,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,22,07,09,02,21,3,32,22,0,1.0,0.6666666666666666
7,762c0e7d1739e90218bdf59fb8ba2cdb,87,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,17,1,1,1,1,31,03,01,10,2,8,14,21,0,0.6666666666666666,0.3333333333333333
8,52525adbe3f6530701c0f5cde857ad3a,29,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,7,2,0,1,4,41,10,07,11,20,2,42,22,1,0.3333333333333333,0.6666666666666666
9,12291bd303c430be29adc54bee5a1d52,72,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,20,0,0,1,2,23,07,05,02,27,1,31,51,0,0.3333333333333333,0.3333333333333333
10,fbe6d03f611ee00ce872252b01f2929c,22,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,16,0,1,0,1,23,01,07,11,10,1,41,31,1,0.0,0.6666666666666666
11,218f27a309d6b19bd9d83c2da0a39db7,21,5,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,8,2,1,0,3,12,11,06,10,16,5,81,31,0,0.0,0.3333333333333333
12,a1fb7e435f78938693cd0b5b272189de,29,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,4,2,1,0,1,12,03,99,05,18,2,41,99,1,0.6666666666666666,0.3333333333333333
13,09d956a5d62968b6671eff9f406e3def,45,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,15,1,1,1,2,22,99,05,09,34,3,42,22,1,0.6666666666666666,0.3333333333333333
14,5e68472b8ed3c64ac1ffbfce38a8455e,47,5,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,11,1,0,0,4,31,10,99,11,5,7,51,99,0,0.6666666666666666,0.6666666666666666
15,c429190142142c3e9ff63d9f550d150a,82,3,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,6,1,0,0,2,23,07,02,08,34,5,32,99,0,0.3333333333333333,0.0
16,eb579619ca0980a8de579314ccc5bbbf,21,3,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,11,0,0,0,3,51,11,09,05,34,4,41,22,0,1.0,0.6666666666666666
17,cfb203a4e03ccc305fba93d2731e6950,89,4,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,5,0,0,1,5,21,05,07,07,34,9,14,22,1,0.6666666666666666,0.0
18,453df3c91e24143f6699c007ec811dd4,43,4,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,22,1,1,0,2,99,10,09,02,24,5,71,22,0,0.3333333333333333,0.6666666666666666
19,131cd5280ac83fc03e90a049c9b87945,87,3,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,23,2,0,1,1,41,10,05,03,28,8,42,12,1,0.6666666666666666,0.3333333333333333
