,Unnamed: 0,direction,transfer_date,transfer_time,transaction_amount,localite,caller_msisdn,corresp_msisdn
0,521,OUT,20220321,224508,5000.0,BANDAFASSI/KEDOUGOU/KEDOUGOU,698af5af25e435f0b0b129397d2d9b58,b5333738f975f816fe2fc6013299b602
1,737,IN,20220403,153342,500.0,KAOLACK/KAOLACK/KAOLACK,7629afa5c8148d6ab12998041bfa46de,ebd8a25f41ac9f21760a47a37483f385
2,740,IN,20210804,92520,10100.0,,683f8b2f9b3f00f44709fa4a43287db4,b612c12c1a2fa9091b1e890e2c0cc78b
3,660,OUT,20220309,104632,10000.0,THIAROYE/PIKINE/DAKAR,c44f01179a6816b7ee5acba21f0e2880,fc19e9a07fca9ee95b82e18dbac0f8d7
4,411,OUT,20220102,142126,4500.0,THIAROYE/PIKINE/DAKAR,d18f615efcf8fa7ccd192d812f76f9b2,c6769dc085151b9e7e873f39561fc4cf
5,678,IN,20210710,210530,2020.0,,267f1c4feb9ac8798f8bfae14e73faea,253ab7dae41007f2522dabd4ba25bcf0
6,626,OUT,20220519,214531,1500.0,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,9b068ee89d6b01715bd22b26ba06f636,db8c3a673554a5719f91d769b9c8fe66
7,513,OUT,20220517,114154,9920.0,,48f2f8a09711f5c259c19bb7005b19b6,864342016bff7ac04fd449219c23a47e
8,859,OUT,20220116,200747,5000.0,DAKAR PLATEAU/DAKAR/DAKAR,15f4737426b1635110b67886e35afe25,5b6d97962f8954652062b1f4349a5ffa
9,136,IN,20220130,153134,5250.0,FONGOLEMBI/KEDOUGOU/KEDOUGOU,9d70029deda008a25a95f42a88ae1574,572c814ef489a78ff2ea27b5915d76e5
10,811,OUT,20211006,220937,38202.0,,bb6b0fd1de2437f771bcc2be1030d969,a6b00566a6fdf4ed398e3f043b8af638
11,76,OUT,20220501,926,500.0,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,973991a198189bed07774e3dcbb6a13c,403beb74c00b6fabbaf3a05d9b3faeb7
12,636,IN,20210824,125432,7000.0,,6487fabadb2802ad2256190bcb39ca73,7cb01663504329624b38b72180586d1e
13,973,OUT,20211110,215723,2000.0,DAKAR PLATEAU/DAKAR/DAKAR,0cd259105dbbc322d69fa621f79be4b0,7e487aedaa39287722e7e0c8fdae83c2
14,938,OUT,20220207,202309,500.0,OUROSSOGUI/MATAM/MATAM,8ba6e095dfee4889dafee94053dddb41,2871d253f854de1ba940279da50ae770
15,899,IN,20210820,142148,1.0,,ce787721d00e378e6e1660bb0eba14b7,b58b587be09e5c1963bf4deba19597cc
16,280,OUT,20220330,221742,50.0,THIAROYE/PIKINE/DAKAR,9d541238dc3cbd44a75c742d6d5ee4ed,40a4e913e3fc7ba038663f12fd010732
17,883,OUT,20220126,101836,50000.0,OUROSSOGUI/MATAM/MATAM,a401668ea5842716eab5230e078019a6,e80cba90d46b9d85face2d5be5ee4896
18,761,OUT,20211224,164233,16200.0,KAOLACK/KAOLACK/KAOLACK,07d7e6ebd4c4cf641e4461bd4bb1549a,bfdab1c01d3fd6d6cd1c48707d6f9bd4
19,319,OUT,20211127,73359,100.0,OUROSSOGUI/MATAM/MATAM,40a4e913e3fc7ba038663f12fd010732,08d34c22ffa4c62f1f293888037d0ab9
20,549,OUT,20220407,111803,2000.0,KAOLACK/KAOLACK/KAOLACK,646dd1fa140540788477ae9c68fcd21e,b22995821caebfd7dd1dff05e644525c
21,174,IN,20211021,162548,1000.0,,ee35ec8cea548b98513dc7ec449a9608,737217c25b3b54ba09e5cb25a43805d4
22,371,OUT,20220121,183808,1500.0,OUROSSOGUI/MATAM/MATAM,2ad55671f0b829569792dff18e7fd010,631ed249c89e4bab455e1e00b9bd16f9
23,527,IN,20210727,164829,3500.0,,f4b1b40820fdf9fd67b65c1e4236b810,b5f7a9c9a47c72bc9052ed4f05efa81e
24,210,IN,20220219,113835,500.0,FONGOLEMBI/KEDOUGOU/KEDOUGOU,cbfd72d86feca2848d6acb33d93325a0,6d85ea8347c4e73a1833b6eddd077a71
25,235,OUT,20220331,192121,3000.0,KAOLACK/KAOLACK/KAOLACK,3ef494c52f2a5862dd53ca15d37aee46,7cb741a0c202315c997ad8caf92a7d75
26,101,OUT,20211030,131626,15000.0,,be8d1525fabc2ea23b295c0f74cfd3b6,d37e60bc2846cc5983e5b4e532a064ea
27,986,OUT,20211231,115958,9000.0,GUEDIAWAYE/GUEDIAWAYE/DAKAR,9d0c3e827df287326921834699fb7653,0fa9ab6a7106e75e57b51047802f3148
28,902,OUT,20210902,122657,5000.0,,ce787721d00e378e6e1660bb0eba14b7,9d70029deda008a25a95f42a88ae1574
29,947,IN,20220718,185428,6000.0,,8ba6e095dfee4889dafee94053dddb41,7c3d2ef0bd00d284021f9aed1c66e2a1
30,346,IN,20220331,145921,1500.0,NDOFFANE/KAOLACK/KAOLACK,32c36c2f61e08cd4acce9dadca859ff7,4f6dc4b51afbcd5245ac71f341464acf
31,139,OUT,20220130,202551,500.0,FONGOLEMBI/KEDOUGOU/KEDOUGOU,9d70029deda008a25a95f42a88ae1574,ff30d8c16c95df3eca7fd73b76094bbb
32,621,OUT,20220510,114044,3000.0,MISSIRAH/TAMBACOUNDA/TAMBACOUNDA,54f6fa1cbbcdeb35888270679508b88e,203049540ea164d625d6173e668c3e13
33,499,OUT,20210918,124122,2500.0,,a49d738cbd86b46307fae11ae77d2988,5fc34be6a59a7c05c1d81b22a70895ad
34,370,OUT,20220121,201906,1000.0,OUROSSOGUI/MATAM/MATAM,2ad55671f0b829569792dff18e7fd010,abe44f37af825fdabb5e46c0480b44ef
35,198,IN,20211209,100421,20000.0,DAKAR PLATEAU/DAKAR/DAKAR,dc1d48f65a73a23f6f235e8d758d2be1,6487fabadb2802ad2256190bcb39ca73
36,687,IN,20211027,123542,30300.0,,88c73912a5bcc25a8d8a5dfa9a595ec0,ce787721d00e378e6e1660bb0eba14b7
37,584,IN,20210819,155306,800.0,,af8a802436786b3138bac39c23b3bb3f,b58b587be09e5c1963bf4deba19597cc
38,901,IN,20210829,175749,50000.0,,ce787721d00e378e6e1660bb0eba14b7,9b068ee89d6b01715bd22b26ba06f636
39,59,OUT,20210712,165931,20200.0,,b24fac7a8909359fb25d8fb3aa6c961c,683f8b2f9b3f00f44709fa4a43287db4
40,328,OUT,20211201,151308,500.0,OUROSSOGUI/MATAM/MATAM,40a4e913e3fc7ba038663f12fd010732,b612c12c1a2fa9091b1e890e2c0cc78b
41,96,OUT,20210921,225031,3000.0,,8c2c00021b6cf7b851152c2602b698b8,7629afa5c8148d6ab12998041bfa46de
42,312,IN,20211211,185108,2000.0,KEDOUGOU/KEDOUGOU/KEDOUGOU,95b70559d074b28e05d41a7a3ffe2bdc,6a6f5d19e68f606274b6a4ed1cd39608
43,974,OUT,20211026,153258,3000.0,,a1d66c0dac76c52edc250a70c2480981,9d70029deda008a25a95f42a88ae1574
44,299,OUT,20220609,102534,2000.0,THIAROYE/PIKINE/DAKAR,9306cec3aa0b8b43207beeb236e10a39,203049540ea164d625d6173e668c3e13
45,277,IN,20211018,202903,6100.0,,97797cf3d846c98cad4ab624268b0455,4c738a30fa6ea43d08abe3f888c3d5ef
46,924,IN,20210801,162750,100000.0,,8ba6e095dfee4889dafee94053dddb41,5f57e6fdb3e378c373f3c99cc4b40a10
47,601,OUT,20220604,221113,500.0,DAKAR PLATEAU/DAKAR/DAKAR,572c814ef489a78ff2ea27b5915d76e5,e80cba90d46b9d85face2d5be5ee4896
48,439,OUT,20220602,112707,2000.0,BANDAFASSI/KEDOUGOU/KEDOUGOU,08713e900b728419733e8d89a5025ffc,e21435d3c4bab684898b5607a3055dcb
49,837,IN,20220508,122644,1800.0,KAOLACK/KAOLACK/KAOLACK,203049540ea164d625d6173e668c3e13,bf31376f4def43b5c923180731f7c559
50,570,IN,20211114,30057,15000.0,OUROSSOGUI/MATAM/MATAM,8c88ceb44a261430990b5c7077f8cb05,99af31a92a70a4ef8e01f6d26352fabe
51,879,IN,20220214,151252,2000.0,DAKAR PLATEAU/DAKAR/DAKAR,bf8034baf34b2753ed674340f75d8afc,9b068ee89d6b01715bd22b26ba06f636
52,261,OUT,20220628,123541,2000.0,DAKAR PLATEAU/DAKAR/DAKAR,b612c12c1a2fa9091b1e890e2c0cc78b,6d30507999d54714fa6e788de0feea09
53,578,IN,20220605,191524,1000.0,OUROSSOGUI/MATAM/MATAM,8c88ceb44a261430990b5c7077f8cb05,cf506ba2da0950fbf04bc219ab1277f1
54,23,OUT,20210710,200838,100.0,,aad94c4b27b74ed5b5cbe37580d56dde,d2c2b8446aefda434c1c6797d3cd4f66
55,30,IN,20210817,112236,10000.0,,b8c770927e1b838fd25704a4d3d36c96,8c88ceb44a261430990b5c7077f8cb05
56,617,OUT,20220618,213004,2200.0,OUROSSOGUI/MATAM/MATAM,24fcef83ba13fcbb0ae4d7b43f68c0d9,243cef2affc6f4ab31094713363e54c0
57,10,OUT,20220702,233302,500.0,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,5fc34be6a59a7c05c1d81b22a70895ad,5f57e6fdb3e378c373f3c99cc4b40a10
58,221,IN,20220605,84714,600.0,KAOLACK/KAOLACK/KAOLACK,9601de7e2ceb2d72e5dec6c805e50dba,7f306a0772fc49618b86edd3754fc143
59,820,IN,20220406,173306,20000.0,DAKAR PLATEAU/DAKAR/DAKAR,fc19e9a07fca9ee95b82e18dbac0f8d7,94b6e26b522f067d3b2db57a3c072e93
60,296,OUT,20220103,102500,50.0,THIAROYE/PIKINE/DAKAR,5d367acc24a95b12121a95f36a7b0d39,ee35ec8cea548b98513dc7ec449a9608
61,54,IN,20220603,161804,2000.0,DAKAR PLATEAU/DAKAR/DAKAR,ebd8a25f41ac9f21760a47a37483f385,c44f01179a6816b7ee5acba21f0e2880
62,542,OUT,20220503,211440,95000.0,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,7133431e5571fa4ac066d4779daa426c,973991a198189bed07774e3dcbb6a13c
63,209,IN,20211222,175535,1300.0,FONGOLEMBI/KEDOUGOU/KEDOUGOU,cbfd72d86feca2848d6acb33d93325a0,86345008baf5a2abfb6b7c876c24dab4
64,604,IN,20220317,193524,45000.0,THIAROYE/PIKINE/DAKAR,49035713f999acb1614ff4e66680afac,a07407312092f4d92b61f625bab55713
65,692,IN,20210801,5221,500.0,,e80cba90d46b9d85face2d5be5ee4896,dce5cd0df45c125c3479dc49cd09006a
