,txn_type,traffic_direction,caller_id,call_date,call_time,duration,caller_antenna,international,recipient_id,timestamp
0,call,SORTANT,5634d3960f5dbf326b2eb01e1cf66124,20210720,180146,182.0,608-01-09020-30101,domestic,,20210720180146
1,call,ENTRANT,a0c8f562a4abc89230b30a30409f69bc,20210720,72925,116.0,608-01-09040-25025,domestic,,2021072072925
2,call,ENTRANT,86b09e4ed3f30d94853e413451f1a69b,20210720,103649,39.0,608-01-09028-02017,domestic,,20210720103649
3,call,SORTANT,b58b587be09e5c1963bf4deba19597cc,20210720,213222,2.0,608-01-09000-36753,domestic,,20210720213222
4,call,ENTRANT,907d1610586c9337c2b19b00eca3bc79,20210720,230420,287.0,608-01-09000-03947,domestic,,20210720230420
5,call,ENTRANT,9390178ed6128fc0ab924ed78fe5ed18,20210720,213415,99.0,608-01-00715-09483,domestic,,20210720213415
6,text,ENTRANT,c2b1a3cfd64a1bdeaea868ec36fe8872,20210720,151909,1.0,608-01-00164-19698,domestic,,20210720151909
7,text,ENTRANT,c4b0ad66981cfdfbee53260958f11440,20210720,213149,1.0,608-01-09040-24993,domestic,,20210720213149
8,call,ENTRANT,e798611c8a1ecc2132d7c7d01f2df778,20210720,84427,46.0,608-01-00712-04910,domestic,,2021072084427
9,call,SORTANT,c392228067486aba22d55e5c98f18c14,20210720,92723,312.0,608-01-00117-21848,domestic,,2021072092723
10,call,SORTANT,7042775d39fefc66440f5b0fd066e934,20210720,95146,283.0,608-01-09000-00269,domestic,,2021072095146
11,text,ENTRANT,8e0e63b8b034cf21a5abb6a0c50ee747,20210720,140258,1.0,608-01-09036-17037,domestic,,20210720140258
12,call,SORTANT,854d95cc2f945e6895ea87919a9e28d0,20210720,103821,19.0,608-01-00601-24931,domestic,,20210720103821
13,call,SORTANT,4b0679bab2b4c1c0e3a87180be3fbcc8,20210720,124154,28.0,608-01-09020-24969,domestic,,20210720124154
14,text,ENTRANT,9b5cff09e4225f41d6725ed01ac67686,20210720,60306,1.0,608-01-09031-21907,domestic,,2021072060306
15,text,ENTRANT,6eb0e40eafa6248a81768e7e3900f64f,20210720,101958,1.0,608-01-00201-25753,domestic,,20210720101958
16,call,ENTRANT,3129cc53effd1bf5c5739b8fa0271ae6,20210720,92440,1.0,608-01-00226-25323,domestic,,2021072092440
17,call,ENTRANT,aa9c9b625f8b1388c717f0dddbffc800,20210720,185202,441.0,608-01-09043-06517,domestic,,20210720185202
18,call,SORTANT,525945f360bed7a95553a2ded236c80c,20210720,192314,53.0,608-01-00710-09460,domestic,,20210720192314
19,call,SORTANT,a85a4b4055523f7b2189e39df5aa82f1,20210720,143825,116.0,608-01-00408-25296,domestic,,20210720143825
20,text,ENTRANT,bb1c6189741d6cbc1c5b89a1b380f31e,20210720,202919,1.0,608-01-00226-26917,domestic,,20210720202919
21,text,SORTANT,cc8807131fdb6607dadf1e03de778fcb,20210720,230629,1.0,608-01-00206-27845,domestic,,20210720230629
22,call,ENTRANT,e7b528d95a455625157bde31d6058119,20210720,164112,73.0,608-01-09040-30111,domestic,,20210720164112
23,text,ENTRANT,87debc2dc850f2d0a5d40e13bcbc9b30,20210720,130623,1.0,608-01-00408-25638,domestic,,20210720130623
24,call,SORTANT,5ac4cd9d84ba6d03775a38166410244f,20210720,113319,2.0,608-01-00712-04910,domestic,,20210720113319
25,call,ENTRANT,2c139ab269c662c2d2ec7c84141d3260,20210720,205518,24.0,608-01-02008-24925,domestic,,20210720205518
26,call,ENTRANT,77cdfac21ad12d5597e4946fc5963db8,20210720,92803,33.0,608-01-00408-25077,domestic,,2021072092803
27,call,ENTRANT,86d3b84b28145c90c74024bd99a9d9eb,20210720,92727,80.0,608-01-09000-00087,domestic,,2021072092727
28,text,ENTRANT,270b55491bc4cc9f01d0fd58327959f1,20210720,93841,1.0,608-01-09036-22427,domestic,,2021072093841
29,text,ENTRANT,5084c74e235839ec16f3acc40e9e8715,20210720,111124,1.0,608-01-09025-02867,domestic,,20210720111124
30,call,SORTANT,c1aa52f4db3188295223dc604784c67e,20210720,221649,4.0,608-01-00601-24977,domestic,,20210720221649
31,call,SORTANT,be9f48e5adb6cd57c8347bbe843932c6,20210720,105311,44.0,608-01-09000-00434,domestic,,20210720105311
32,call,ENTRANT,fc35cb167cf039c5f4c40d41c72eab53,20210720,75117,173.0,608-01-00715-09483,domestic,,2021072075117
33,call,SORTANT,3210cd3be41fb785bc86e7063b2d31e8,20210720,3309,99.0,608-01-09025-04633,domestic,,202107203309
34,call,SORTANT,26c90e363b72d79d17fef3f7a96c87de,20210720,233500,16.0,608-01-09043-04413,domestic,,20210720233500
35,call,SORTANT,676337787ee0eabdc3d7453cd28f8a6c,20210720,224706,4.0,608-01-00712-12344,domestic,,20210720224706
36,text,ENTRANT,aa831faf2541bf3b8b1035e4888f34a6,20210720,171952,1.0,608-01-09040-25132,domestic,,20210720171952
37,call,SORTANT,1df4eb11bb7a35a9a9c4f289ddc0991f,20210720,151147,116.0,608-01-09020-25869,domestic,,20210720151147
38,call,ENTRANT,fa8744f2fc7fcb3b5b99911bcea0b597,20210720,145155,42.0,608-01-09036-17038,domestic,,20210720145155
39,text,ENTRANT,95a2f9cac142e6a3083472dfba0da517,20210720,114835,1.0,608-01-09040-25014,domestic,,20210720114835
40,call,SORTANT,07b017d6516a768586258964f8ac4ece,20210720,72240,6.0,608-01-09003-00145,domestic,,2021072072240
41,call,SORTANT,6df2fdee89245a160ce1f80b2f540a5f,20210720,162214,4.0,608-01-02007-29797,domestic,,20210720162214
42,call,ENTRANT,e18502d35b557a93331dae5580d1424e,20210720,234439,124.0,608-01-00604-29329,domestic,,20210720234439
43,call,SORTANT,6c741f6635cab17ccd1c9db7c82dec54,20210720,235331,20.0,608-01-00601-24929,domestic,,20210720235331
44,call,SORTANT,23cf82038bf7a940bc048c58cab887bf,20210720,231121,117.0,608-01-09003-43887,domestic,,20210720231121
45,call,ENTRANT,cac91d3ca9e4578a220b4e36dc7eb66a,20210720,145340,27.0,608-01-09003-02624,domestic,,20210720145340
46,call,ENTRANT,48ef757692cffb4352dde8e276a9abcd,20210720,113801,173.0,608-01-09000-00731,domestic,,20210720113801
47,call,ENTRANT,ce2889cf9b59c464b46c30c16a22b5f4,20210720,132954,40.0,608-01-00601-24948,domestic,,20210720132954
48,text,ENTRANT,e88e4b4ac263bdedb7d158d0532ded6b,20210720,163804,1.0,608-01-00715-09672,domestic,,20210720163804
