,Unnamed: 0,traffic_type,traffic_direction,call_date,call_time,duree,ms_location,caller_msisdn,corresp_msisdn
0,521,VOIX,ENTRANT,20210831,155425,35.0,,d65862c2b2c34aefb070a708718426b3,c18ec9a730f862b0a4df51bedfcedc65
1,737,VOIX,SORTANT,20210927,84858,105.0,,5757c99a52d73d9b3e563a0046add2ee,a1fb7e435f78938693cd0b5b272189de
2,740,VOIX,SORTANT,20210927,93346,110.0,,ed36b9182948943432386fa422a084b1,dac72f431d3749e10ea5346009a5bdca
3,660,VOIX,SORTANT,20210924,105042,21.0,,bdc6d7893af482720b45eb6258f07fd3,a460186007060959b3413220b922927f
4,411,VOIX,SORTANT,20210816,125249,138.0,,fe090e5a588ca62bdbff8e807d04e475,44d1af011cf5e8b24843e8fd1788d47e
5,678,VOIX,ENTRANT,20210924,190657,6.0,,8377cb16fe40aa057281508152f2b0b3,3d2d38b7c8f8e2fa6fb36da971102ec2
6,626,VOIX,SORTANT,20210923,4727,8.0,,9526e47b093153ee6f99346bbdcf0666,4a171a725d78f2775a77acd03704a138
7,513,SMS,ENTRANT,20210831,230414,1.0,,762c0e7d1739e90218bdf59fb8ba2cdb,1a6b15af677fa18626e531426df5259a
8,859,VOIX,ENTRANT,20211018,80856,33.0,,52525adbe3f6530701c0f5cde857ad3a,f207abad96f15c7a28da96f4ef704a3e
9,136,VOIX,ENTRANT,20210727,103757,8.0,,12291bd303c430be29adc54bee5a1d52,62c8556a98a067bcbd1615caf3760646
10,811,VOIX,SORTANT,20211017,124454,100.0,,fbe6d03f611ee00ce872252b01f2929c,f207abad96f15c7a28da96f4ef704a3e
11,76,VOIX,SORTANT,20210712,154623,47.0,,218f27a309d6b19bd9d83c2da0a39db7,dac72f431d3749e10ea5346009a5bdca
12,636,VOIX,ENTRANT,20210923,130655,420.0,,a1fb7e435f78938693cd0b5b272189de,1791881b28ce6c4bf059f7a697114415
13,973,VOIX,SORTANT,20211028,134340,1.0,,09d956a5d62968b6671eff9f406e3def,8a23734c76b39465bf40d7e36556b542
14,938,VOIX,ENTRANT,20211025,93800,14.0,,5e68472b8ed3c64ac1ffbfce38a8455e,c3a30476fee57eadd27ca487c29735a5
15,899,VOIX,ENTRANT,20211025,194217,3.0,,c429190142142c3e9ff63d9f550d150a,8f6e8305f5e31d00fe36d7c36736d236
16,280,VOIX,SORTANT,20210812,133636,303.0,,eb579619ca0980a8de579314ccc5bbbf,74a409f5808676b9df69cd2157ac0f2b
17,883,VOIX,SORTANT,20211018,222011,32.0,,cfb203a4e03ccc305fba93d2731e6950,49544741584ff135fce01ee17fda6ee3
18,761,VOIX,ENTRANT,20211013,134352,83.0,,453df3c91e24143f6699c007ec811dd4,f535d127fef37c8766aef4c8bca04d69
19,319,SMS,ENTRANT,20210812,130441,1.0,,131cd5280ac83fc03e90a049c9b87945,e086269a3ca12f9e6b45d05b6a135df4
