,volume,msisdn,ms_location,call_date,call_time,timestamp
521,11.020743370056152,58982635729b45727700229a70ae85e5,608-01-00354-00010,20211118,170023,2021-11-18 17:00:23
737,0.0272769927978515,b8b9dc654da68fc4a748d3df03a7046a,608-01-09040-24955,20211118,62353,2021-11-18 06:23:53
740,0.0,31a3fa5ccc585b9d2be69569b69e76b9,608-01-00983-00001,20211118,140528,2021-11-18 14:05:28
660,0.0,3fe68455383e037e757db7873979989c,608-01-01092-00006,20211118,192427,2021-11-18 19:24:27
411,0.0930004119873046,15a5bf5eb2e4effcaea6a3ab479dc30f,608-01-00061-00006,20211118,160516,2021-11-18 16:05:16
678,0.0,7a0c566a0461d3672d99abbe02b47611,608-01-09000-00202,20211118,105039,2021-11-18 10:50:39
626,6.388288497924805,80134e390d51141ccbebd0fbfd8bd6bb,608-01-09040-25121,20211118,154907,2021-11-18 15:49:07
513,1.848846435546875,552b3d445a5f3194efea2aa068585917,608-01-09036-25612,20211118,163247,2021-11-18 16:32:47
859,1.406633377075195,e4174340b2f6d805441ec49f26d1c728,608-01-00609-00003,20211118,122709,2021-11-18 12:27:09
136,0.0,9c7d10ec78053c120824a5eab62b72b9,608-01-00658-00001,20211118,112820,2021-11-18 11:28:20
811,0.0174169540405273,addb8bed5f143cf53f5df183ecb098e2,608-01-09040-30331,20211118,175301,2021-11-18 17:53:01
76,6.469077110290527,93ff5dcd6d02fe809d3f6afddec040ec,608-01-09036-25621,20211118,195110,2021-11-18 19:51:10
636,0.0247220993041992,be4a24fc3bf1e240198048b7c8f4d1b3,608-01-00410-00010,20211118,130927,2021-11-18 13:09:27
973,0.0057849884033203,49038249eb288896a627dfe6840c5a50,608-01-09008-17217,20211118,112149,2021-11-18 11:21:49
938,66.8478775024414,6133a0438749ba75fe62761a05fa2bd0,608-01-09030-53953,20211118,115556,2021-11-18 11:55:56
899,0.2996349334716797,8ffea64c93ec4ee3840d86fe757468b4,608-01-02960-00004,20211118,134555,2021-11-18 13:45:55
280,0.0025997161865234,96c0207dfac1bab0dea92a270a40e50e,608-01-00466-00003,20211118,202047,2021-11-18 20:20:47
883,0.0003118515014648,83b159fd6f909041a962ce5ccbff9145,608-01-00117-21859,20211118,93355,2021-11-18 09:33:55
