,type_rechargement,msisdn,call_event_date,cost,localite,timestamp
521,Recharge via OM,cf506ba2da0950fbf04bc219ab1277f1,20220226,50,OUROSSOGUI/MATAM/MATAM,2022-02-26
737,Recharge via Seddo,a717dc521f7c6ec14947cf61b0701560,20220219,1500,DAKAR PLATEAU/DAKAR/DAKAR,2022-02-19
740,Recharge via OM,fb74722dd297a8c159f248cfd5e5c5f1,20220124,5000,GRAND DAKAR/DAKAR/DAKAR,2022-01-24
660,Pass Glob via OM Jour,db83248589b0b4895d3f040a77a01d9a,20210908,2000,DAKAR PLATEAU/DAKAR/DAKAR,2021-09-08
411,Recharge via Seddo,d1482d831cd8d2e3ece1ceb9f9fb5e6e,20211210,2000,BANDAFASSI/KEDOUGOU/KEDOUGOU,2021-12-10
678,Recharge via Seddo,8926652db307040a142bc67132001352,20210723,5000,KAOLACK/KAOLACK/KAOLACK,2021-07-23
626,Recharge via Seddo,db930976296556aa7d37a39fb419f049,20220531,2300,OUROSSOGUI/MATAM/MATAM,2022-05-31
513,Pass Glob via OM Jour,4ff9fa19bfb0b26eec76115b4cc15621,20220508,2000,DAKAR PLATEAU/DAKAR/DAKAR,2022-05-08
859,Recharge via Seddo,1eb37742a957cc9296db997442fb636e,20220120,3000,KAOLACK/KAOLACK/KAOLACK,2022-01-20
136,Recharge via OM,615eb2ccf59c2a08e30b6efe8b41eeca,20211221,200,BANDAFASSI/KEDOUGOU/KEDOUGOU,2021-12-21
811,Pass Glob via OM,8ba6e095dfee4889dafee94053dddb41,20220305,2000,OUROSSOGUI/MATAM/MATAM,2022-03-05
76,Recharge via Seddo,b420c0a4f1f57f50e93acee42bd0a7ba,20220203,550,OUROSSOGUI/MATAM/MATAM,2022-02-03
636,Pass Glob via OM Jour,e8426375608f10a940484505784cd8aa,20211212,5000,THIAROYE/PIKINE/DAKAR,2021-12-12
973,Recharge via Seddo,b13f5e51ed65806bdedac29ac910e2f1,20220728,2000,NIAGUIS/ZIGUINCHOR/ZIGUINCHOR,2022-07-28
938,Recharge via Seddo,c28779e07aaa13fbd744474074b7936c,20211210,600,KOUNGHEUL/KOUNGHEUL/KAFFRINE,2021-12-10
