,traffic_type,traffic_direction,msisdn,call_date,call_time,duree,ms_location,timestamp
521,VOIX,SORTANT,5634d3960f5dbf326b2eb01e1cf66124,20210720,180146,182.0,608-01-09020-30101,2021-07-20 18:01:46
737,VOIX,ENTRANT,a0c8f562a4abc89230b30a30409f69bc,20210720,72925,116.0,608-01-09040-25025,2021-07-20 07:29:25
740,VOIX,ENTRANT,86b09e4ed3f30d94853e413451f1a69b,20210720,103649,39.0,608-01-09028-02017,2021-07-20 10:36:49
660,VOIX,SORTANT,b58b587be09e5c1963bf4deba19597cc,20210720,213222,2.0,608-01-09000-36753,2021-07-20 21:32:22
411,VOIX,ENTRANT,907d1610586c9337c2b19b00eca3bc79,20210720,230420,287.0,608-01-09000-03947,2021-07-20 23:04:20
678,VOIX,ENTRANT,9390178ed6128fc0ab924ed78fe5ed18,20210720,213415,99.0,608-01-00715-09483,2021-07-20 21:34:15
626,SMS,ENTRANT,c2b1a3cfd64a1bdeaea868ec36fe8872,20210720,151909,1.0,608-01-00164-19698,2021-07-20 15:19:09
513,SMS,ENTRANT,c4b0ad66981cfdfbee53260958f11440,20210720,213149,1.0,608-01-09040-24993,2021-07-20 21:31:49
859,VOIX,ENTRANT,e798611c8a1ecc2132d7c7d01f2df778,20210720,84427,46.0,608-01-00712-04910,2021-07-20 08:44:27
136,VOIX,SORTANT,c392228067486aba22d55e5c98f18c14,20210720,92723,312.0,608-01-00117-21848,2021-07-20 09:27:23
811,VOIX,SORTANT,7042775d39fefc66440f5b0fd066e934,20210720,95146,283.0,608-01-09000-00269,2021-07-20 09:51:46
76,SMS,ENTRANT,8e0e63b8b034cf21a5abb6a0c50ee747,20210720,140258,1.0,608-01-09036-17037,2021-07-20 14:02:58
636,VOIX,SORTANT,854d95cc2f945e6895ea87919a9e28d0,20210720,103821,19.0,608-01-00601-24931,2021-07-20 10:38:21
973,VOIX,SORTANT,4b0679bab2b4c1c0e3a87180be3fbcc8,20210720,124154,28.0,608-01-09020-24969,2021-07-20 12:41:54
938,SMS,ENTRANT,9b5cff09e4225f41d6725ed01ac67686,20210720,60306,1.0,608-01-09031-21907,2021-07-20 06:03:06
899,SMS,ENTRANT,6eb0e40eafa6248a81768e7e3900f64f,20210720,101958,1.0,608-01-00201-25753,2021-07-20 10:19:58
280,VOIX,ENTRANT,3129cc53effd1bf5c5739b8fa0271ae6,20210720,92440,1.0,608-01-00226-25323,2021-07-20 09:24:40
